method,terms,threshold,recall,specificity,precision,fpr,precision_n
hypergeometric,4,1.6252601813003271e-13,0.4625,0.9977282992237124,0.08360160377553928,0.0022717007762879317,92
hypergeometric,4,3.023166483055382e-13,0.47,0.9976854857680546,0.0818914283329139,0.0023145142319454244,92
hypergeometric,4,5.376526334430904e-13,0.4775,0.9976426723123971,0.08102856300038859,0.0023573276876029167,92
hypergeometric,4,8.563475378586421e-13,0.4825,0.9975979769466007,0.07919358607846169,0.0024020230533992005,92
hypergeometric,4,1.5074848181665841e-12,0.485,0.9975549282521758,0.07660097392658566,0.0024450717478240415,92
hypergeometric,4,2.644366764821134e-12,0.5,0.99751376146789,0.07606557685547606,0.002486238532110092,92
hypergeometric,4,4.607776448621887e-12,0.5075,0.9974707127734649,0.07278607032670535,0.0025292872265349343,92
hypergeometric,4,7.923860098904429e-12,0.5175,0.9974276640790403,0.08136502945493532,0.0025723359209597744,93
hypergeometric,4,1.1731351506511572e-11,0.5225,0.9973846153846153,0.09016000954916739,0.002615384615384616,94
hypergeometric,4,1.9975852560873283e-11,0.5225,0.9973410962126558,0.08901599431844039,0.002658903787344156,94
hypergeometric,4,2.975844284857453e-11,0.5275,0.9972975770406961,0.09291927627259257,0.002702422959303694,95
hypergeometric,4,4.647375156985842e-11,0.53,0.9972545283462718,0.10044814419381676,0.0027454716537285363,96
hypergeometric,4,7.326142437805991e-11,0.5325,0.997210068219243,0.09912545350948436,0.0027899317807574694,96
hypergeometric,4,1.1056901958718262e-10,0.5325,0.9971672547635854,0.09746922337326376,0.002832745236414962,96
hypergeometric,4,1.698857159521239e-10,0.535,0.9971239708303931,0.10539701134909947,0.0028760291696071517,97
hypergeometric,4,2.5678224655443645e-10,0.54,0.9970804516584333,0.1055596631911572,0.00291954834156669,97
hypergeometric,4,3.849502599029974e-10,0.545,0.9970374029640083,0.10334087725781513,0.0029625970359915305,97
hypergeometric,4,5.509702315299289e-10,0.545,0.9969936485532814,0.09152533164850007,0.0030063514467184183,97
hypergeometric,4,7.815559196335445e-10,0.545,0.9969496589037873,0.09081376526595526,0.0030503410962126566,97
hypergeometric,4,1.2209626797298488e-9,0.55,0.9969068454481298,0.09048676299757845,0.0030931545518701475,97
hypergeometric,4,1.7321279865383352e-9,0.555,0.9968635615149377,0.09327537088932204,0.0031364384850623367,98
hypergeometric,4,2.407308453320287e-9,0.555,0.996820042342978,0.0925726999656206,0.0031799576570218763,98
hypergeometric,4,3.390540810720131e-9,0.56,0.9967744060221126,0.09228964623509756,0.0032255939778875558,98
hypergeometric,4,4.6456406237554024e-9,0.5625,0.9967334744765941,0.08659466268897628,0.0032665255234062573,98
hypergeometric,4,6.228401087724561e-9,0.5675,0.996690190543402,0.08530011477772965,0.003309809456598447,98
hypergeometric,4,8.858854873742923e-9,0.57,0.996646671371442,0.08315450307594291,0.0033533286285579848,98
hypergeometric,4,1.144805579883709e-8,0.5775,0.9966038579157847,0.08336190520139049,0.0033961420842154788,98
hypergeometric,4,1.5675343893523022e-8,0.5775,0.9965601035050576,0.07764304091254287,0.0034398964949423653,98
hypergeometric,4,2.0384059843887935e-8,0.5775,0.9965163490943307,0.0762892125848022,0.0034836509056692545,98
hypergeometric,4,2.77794685147182e-8,0.58,0.9964730651611388,0.07545864675984698,0.0035269348388614454,98
hypergeometric,4,3.538402274011856e-8,0.58,0.9964293107504116,0.0749525886625928,0.0035706892495883324,98
hypergeometric,4,4.581194723825616e-8,0.5825,0.9963857915784524,0.07393374752569751,0.003614208421547871,98
hypergeometric,4,5.863209922688213e-8,0.59,0.9963427428840272,0.07220409169529582,0.003657257115972714,98
hypergeometric,4,7.120423989199871e-8,0.5925,0.9962994589508348,0.07117363322100384,0.0037005410491649025,98
